Year,Month,Lon,Lat,CPUE,SLA,SSS,SST,Chla,Depth,Distance,
2013,11,108.25,21.33,0,0.176035,30.6142006,22.9349003,2.3687999,-11,19320.57125,
2013,11,108.75,21.33,0,0.240479,30.4582005,22.9762001,4.7072601,-17,30228.20462,
2013,11,109.05,21.33,0,0.280945,30.3955994,23.2584991,5.30898,-11,11520.04226,
2013,11,108.5,21,0,0.207443,30.8465996,24.0797005,1.36207,-34,61561.82187,
2013,11,109,21,0.995764,0.274327,30.4067993,24.1520996,3.98755,-22,10269.39483,
2013,11,109.5,21,0,0.30825,30.6457005,23.6343994,3.6650901,-12,18586.28169,
2013,11,108.25,20.67,41.653811,0.185397,31.2178993,24.4354,1.00688,-40,56416.9085,
2013,11,108.75,20.58,13.557357,0.238212,30.6236992,24.6315002,1.35031,-42,60764.69976,
2013,11,109.2,20.67,0.514245,0.285417,30.3812008,24.2010002,3.08547,-19,40225.66728,
2013,11,108.25,20.22,60.423738,0.192115,31.2360992,24.9055996,1.2845401,-50,95427.56728,
2013,11,108.67,20.13,586.051817,0.215766,31.2343998,25.0004997,1.2567199,-50,63205.52351,
2013,11,109.17,20.25,0,0.272413,31.3656998,24.6865997,2.5804701,-19,38942.88132,
2013,11,107.75,19.82,11.687377,0.184861,32.8056984,25.2549992,0.820722,-43,109536.0967,
2013,11,108.1,19.75,20.102288,0.191409,32.3237,25.1497993,1.02117,-51,74059.8338,
2013,11,108.67,19.75,614.989762,0.201647,31.5151005,25.2038002,1.40203,-60,37499.32864,
2013,11,108.83,19.75,0,0.211684,31.5659008,24.9498005,1.39157,-45,25235.79183,
2013,11,107.2,19.25,7.479921,0.170821,33.196701,25.5408993,0.240414,-57,127213.0623,
2013,11,107.72,19.25,0.237581,0.174579,33.1287994,26.1222,0.227878,-68,94842.1263,
2013,11,108.22,19.25,3.272465,0.194808,32.3300018,25.9645004,2.07215,-37,42310.39045,
2013,11,107.2,18.75,20.569783,0.189347,33.2298012,26.1182995,0.40186,-69,106500.5278,
2013,11,107.78,18.8,0,0.171211,33.1422997,26.9034004,0.698765,-67,89111.99097,
2013,11,108.15,18.8,0.687218,0.190726,32.9546013,26.7971992,1.7907,-45,50242.77487,
2013,11,107.3,18.27,5.142446,0.201641,33.2421989,26.2640991,0.164578,-65,89386.59332,
2013,11,107.78,18.27,29.919684,0.186674,33.2361984,26.6375008,0.205141,-75,99156.05299,
2013,11,108.1,18.27,12.622367,0.195296,33.1757011,26.5949993,0.334654,-83,67502.36808,
2014,2,108.25,21.33,0.060774,0.0676849,31.8390007,15.9230003,1.73138,-11,19320.57125,
2014,2,108.75,21.33,1.525904,0.118739,31.8241997,17.8586998,1.76054,-17,30228.20462,
2014,2,109.05,21.33,0,0.14147,31.7814999,18.3293991,1.82028,-11,11520.04226,
2014,2,108.5,21,0,0.0835505,32.0088005,19.0869999,0.869352,-34,61561.82187,
2014,2,109,21,0,0.121511,31.8946991,18.9377995,1.78986,-22,10269.39483,
2014,2,109.5,21,0,0.139313,31.7696991,18.2056999,3.13219,-12,18586.28169,
2014,2,108.25,20.67,0,0.0601994,32.3254013,19.6116009,0.789009,-40,56416.9085,
2014,2,108.75,20.58,0,0.0894713,32.5173988,19.7851009,0.667785,-42,60764.69976,
2014,2,109.2,20.67,0,0.10776,32.1175003,19.1597004,2.7135701,-19,40225.66728,
2014,2,108.25,20.22,0,0.0498787,32.6983986,19.9220009,0.370123,-50,95427.56728,
2014,2,108.67,20.13,0.327247,0.0707774,32.6111984,20.1326008,0.447154,-50,63205.52351,
2014,2,109.17,20.25,0,0.0852979,32.482399,19.2917995,3.3849599,-19,38942.88132,
2014,2,107.75,19.82,1.121988,0.0417975,33.0867996,20.6049004,0.442368,-43,109536.0967,
2014,2,108.1,19.75,1.636233,0.0386259,32.9622002,20.9228992,0.439887,-51,74059.8338,
2014,2,108.67,19.75,10.284891,0.0627703,32.7593002,20.6527004,0.469478,-60,37499.32864,
2014,2,108.83,19.75,1.131338,0.067207,32.7888985,20.0534,0.817281,-45,25235.79183,
2014,2,107.2,19.25,0,0.0516075,33.4627991,20.6047993,0.40193,-57,127213.0623,
2014,2,107.72,19.25,0,0.0439887,33.4202003,21.6525993,0.471703,-68,94842.1263,
2014,2,108.22,19.25,0,0.0357465,32.9701004,22.1891003,0.941403,-37,42310.39045,
2014,2,107.2,18.75,0,0.0597491,33.1316986,21.1005001,0.389131,-69,106500.5278,
2014,2,107.78,18.8,0.860191,0.0461225,33.4175987,22.3661995,0.565426,-67,89111.99097,
2014,2,108.15,18.8,0,0.0367744,33.2330017,22.3616009,1.09675,-45,50242.77487,
2014,2,107.3,18.27,0,0.06174,32.7882004,22.1709003,0.474179,-65,89386.59332,
2014,2,107.78,18.27,0,0.050014,33.3219986,22.4577999,0.816221,-75,99156.05299,
2014,2,108.1,18.27,0,0.0373103,33.4118996,22.8199005,0.536332,-83,67502.36808,
2014,5,108.25,21.33,9.976345,-0.0404626,32.3102989,28.1837997,1.61432,-11,19320.57125,
2014,5,108.75,21.33,0,0.0105614,32.5587997,28.8556004,1.67602,-17,30228.20462,
2014,5,109.05,21.33,0,0.0431978,32.3758011,29.0825996,2.1757801,-11,11520.04226,
2014,5,108.5,21,0.504895,-0.0164189,32.6433983,28.4972,0.85338,-34,61561.82187,
2014,5,109,21,0,0.0212728,32.7583008,29.1341,1.15967,-22,10269.39483,
2014,5,109.5,21,3.552963,0.0450407,32.5657005,29.8439999,2.91348,-12,18586.28169,
2014,5,108.25,20.67,6.731929,-0.021985,32.5522003,27.9174004,0.614932,-40,56416.9085,
2014,5,108.75,20.58,58.717381,-0.0039234,32.7140999,29.0683994,0.355458,-42,60764.69976,
2014,5,109.2,20.67,0.126224,0.017358,32.7834015,29.2684002,1.35276,-19,40225.66728,
2014,5,108.25,20.22,140.575767,-0.0145723,32.4748001,28.0524006,0.321761,-50,95427.56728,
2014,5,108.67,20.13,32.115392,-0.007106,32.5738983,28.6390991,0.235645,-50,63205.52351,
2014,5,109.17,20.25,1.075239,0.0116073,32.6907005,28.6814995,1.2333699,-19,38942.88132,
2014,5,107.75,19.82,31.839074,-0.0511306,32.5535011,28.1616993,0.293016,-43,109536.0967,
2014,5,108.1,19.75,6.077436,-0.0261447,32.6108017,28.7661991,0.197948,-51,74059.8338,
2014,5,108.67,19.75,3.506213,-0.0131894,32.6800995,28.9895,0.212342,-60,37499.32864,
2014,5,108.83,19.75,3.78671,-0.0106523,32.7817001,29.0118008,0.23509,-45,25235.79183,
2014,5,107.2,19.25,3.347265,-0.10161,32.6211014,28.4698009,0.206771,-57,127213.0623,
2014,5,107.72,19.25,0.383346,-0.0797168,32.8834991,28.5877991,0.190955,-68,94842.1263,
2014,5,108.22,19.25,0,-0.0513908,32.8339005,28.8917007,0.973124,-37,42310.39045,
2014,5,107.2,18.75,0.584369,-0.118292,32.7594986,29.1128006,0.198944,-69,106500.5278,
2014,5,107.78,18.8,0,-0.105176,33.0982018,28.9787006,0.174967,-67,89111.99097,
2014,5,108.15,18.8,0,-0.0930898,33.0738983,28.8614998,0.273222,-45,50242.77487,
2014,5,107.3,18.27,0.584369,-0.129596,32.8129997,29.9594994,0.210002,-65,89386.59332,
2014,5,107.78,18.27,0.696568,-0.129007,33.1329002,29.1364994,0.182418,-75,99156.05299,
2014,5,108.1,18.27,0,-0.125693,33.2807007,29.0879993,0.183896,-83,67502.36808,
2014,8,108.25,21.33,0.107524,-0.10039,32.2951012,30.8288002,1.4200799,-11,19320.57125,
2014,8,108.75,21.33,0,-0.0201337,32.1501007,30.6215,1.85066,-17,30228.20462,
2014,8,109.05,21.33,0,0.0174527,31.7938004,30.8831997,2.7790501,-11,11520.04226,
2014,8,108.5,21,0,-0.064441,32.4365997,30.7268009,0.509045,-34,61561.82187,
2014,8,109,21,0,0.0009783,32.3096008,30.4717999,1.3037699,-22,10269.39483,
2014,8,109.5,21,0,0.020994,31.8892994,31.2331009,2.7721,-12,18586.28169,
2014,8,108.25,20.67,0.841491,-0.0917212,32.3797989,30.1201992,0.371353,-40,56416.9085,
2014,8,108.75,20.58,17.37792,-0.0443321,32.3022995,30.2642002,0.343598,-42,60764.69976,
2014,8,109.2,20.67,0,-0.0081948,32.2454987,30.7707996,1.9914401,-19,40225.66728,
2014,8,108.25,20.22,140.575767,-0.082798,32.4575005,30.4022999,0.270386,-50,95427.56728,
2014,8,108.67,20.13,14.054979,-0.0615464,32.4814987,30.7217007,0.379455,-50,63205.52351,
2014,8,109.17,20.25,0,-0.0300904,32.2729988,31.0132999,1.79483,-19,38942.88132,
2014,8,107.75,19.82,7.741718,-0.0947032,32.6635017,30.5212002,0.283059,-43,109536.0967,
2014,8,108.1,19.75,0,-0.0923262,32.5825996,30.2226009,0.294836,-51,74059.8338,
2014,8,108.67,19.75,63.53258,-0.0771717,32.4374008,30.6938,0.305846,-60,37499.32864,
2014,8,108.83,19.75,77.463933,-0.0696902,32.3622017,30.6781998,0.434758,-45,25235.79183,
2014,8,107.2,19.25,168.298224,-0.169302,33.2764015,30.3327007,0.294497,-57,127213.0623,
2014,8,107.72,19.25,513.646181,-0.127886,33.0744019,30.5622997,0.273605,-68,94842.1263,
2014,8,108.22,19.25,77.463933,-0.108252,32.5582008,29.9519005,0.430465,-37,42310.39045,
2014,8,107.2,18.75,699.311847,-0.185097,33.3964996,30.2773991,0.282972,-69,106500.5278,
2014,8,107.78,18.8,989.588885,-0.153278,33.299099,30.2145996,0.225109,-67,89111.99097,
2014,8,108.15,18.8,91.161538,-0.121435,33.0858002,30.0060997,0.250947,-45,50242.77487,
2014,8,107.3,18.27,841.874468,-0.191124,33.4351997,30.4055996,0.324747,-65,89386.59332,
2014,8,107.78,18.27,766.514263,-0.173474,33.4824982,30.1061001,0.26046,-75,99156.05299,
2014,8,108.1,18.27,152.59974,-0.151989,33.4957008,29.9983997,0.204525,-83,67502.36808,